symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
AU0,0.8666666666666667,0.9270833333333334,0.8902291666666666,6,1
SN0,0.96875,0.7291666666666666,0.8753124999999999,1,9
LU0,0.8953125000000002,0.84375,0.8752031250000001,4,3
UR0,0.8578869047619047,0.8645833333333334,0.8604985119047619,7,2
AP0,0.9347470238095239,0.7239583333333334,0.8525394345238095,3,11
AG0,0.8944196428571428,0.6875,0.813720982142857,5,12
OI0,0.944717261904762,0.5989583333333334,0.8098712797619049,2,24
SC0,0.7974702380952382,0.8229166666666666,0.8073943452380953,8,5
PX0,0.765922619047619,0.6145833333333334,0.7069002976190476,12,20
BU0,0.7765624999999999,0.5677083333333334,0.6951093749999999,11,26
FU0,0.7098214285714285,0.6041666666666666,0.6686160714285714,17,22
SR0,0.7818452380952382,0.453125,0.6536443452380953,9,36
PP0,0.7078125000000001,0.515625,0.632859375,18,29
J0,0.6146577380952382,0.6510416666666666,0.6288474702380953,23,15
RM0,0.7354166666666666,0.4583333333333333,0.6273541666666667,16,35
P0,0.7772321428571428,0.3854166666666667,0.6244241071428571,10,47
EC0,0.7533482142857144,0.4010416666666667,0.6159486607142858,14,43
EG0,0.5711309523809524,0.640625,0.5982336309523809,26,16
M0,0.7565476190476191,0.34375,0.5955565476190476,13,55
PG0,0.6863839285714285,0.4322916666666667,0.5872879464285714,19,40
FG0,0.6170386904761904,0.5052083333333334,0.5734248511904761,22,31
SS0,0.7364583333333333,0.2604166666666667,0.5508020833333334,15,58
I0,0.6651785714285714,0.3645833333333333,0.5479464285714285,20,51
TA0,0.6246279761904763,0.3802083333333333,0.5293043154761905,21,49
CU0,0.44486607142857143,0.6197916666666666,0.5130870535714285,34,19
BC0,0.4320684523809524,0.6354166666666666,0.511374255952381,35,18
PF0,0.5773809523809523,0.3958333333333333,0.5065773809523809,25,45
Y0,0.515327380952381,0.4895833333333333,0.5052872023809524,27,33
PB0,0.4313988095238095,0.59375,0.4947157738095238,36,25
V0,0.5777529761904762,0.3489583333333333,0.4885230654761904,24,54
SI0,0.37098214285714287,0.640625,0.47614285714285715,42,17
CS0,0.2527529761904762,0.8229166666666666,0.47511681547619045,54,4
JM0,0.26666666666666666,0.765625,0.4612604166666666,53,7
LC0,0.46651785714285715,0.4479166666666667,0.4592633928571429,31,37
LH0,0.34851190476190474,0.6041666666666666,0.44821726190476185,45,23
L0,0.40029761904761907,0.5208333333333334,0.44730654761904765,38,28
EB0,0.48229166666666673,0.3854166666666667,0.44451041666666674,30,46
C0,0.2902529761904762,0.671875,0.4390855654761905,50,14
JD0,0.22061011904761904,0.7760416666666666,0.4372284226190476,59,6
FB0,0.3730654761904762,0.53125,0.43475744047619047,41,27
CJ0,0.46599702380952385,0.3697916666666667,0.4284769345238095,32,50
B0,0.3544642857142857,0.5104166666666666,0.41528571428571426,43,30
CF0,0.48668154761904764,0.2916666666666667,0.4106257440476191,29,57
SH0,0.19367559523809527,0.734375,0.4045483630952381,60,8
A0,0.39479166666666665,0.4166666666666667,0.40332291666666664,39,41
BR0,0.34933035714285715,0.4114583333333333,0.37356026785714286,44,42
AL0,0.22358630952380953,0.6041666666666666,0.3720126488095238,58,21
SP0,0.14300595238095237,0.7291666666666666,0.37160863095238095,63,10
WR0,0.30811011904761904,0.4479166666666667,0.36263467261904764,48,38
RR0,0.4993303571428572,0.14583333333333334,0.3614665178571429,28,64
CY0,0.42559523809523814,0.2552083333333333,0.3591443452380953,37,59
SF0,0.2732886904761905,0.4791666666666667,0.3535811011904762,52,34
AO0,0.14970238095238095,0.671875,0.35334970238095237,62,13
PK0,0.32194940476190476,0.4010416666666667,0.3527953869047619,46,44
MA0,0.25223214285714285,0.5,0.34886160714285713,55,32
RS0,0.4537202380952381,0.171875,0.3438005952380952,33,61
SM0,0.3197172619047619,0.359375,0.3351837797619048,47,52
RB0,0.29464285714285715,0.3489583333333333,0.31582589285714285,49,53
SA0,0.24389880952380952,0.3802083333333333,0.29705952380952383,57,48
NI0,0.28683035714285715,0.3125,0.29684151785714286,51,56
HC0,0.3889136904761905,0.14583333333333334,0.2941123511904762,40,63
ZN0,0.24977678571428572,0.18229166666666666,0.2234575892857143,56,60
RU0,0.07544642857142857,0.4427083333333333,0.21867857142857144,64,39
NR0,0.1617559523809524,0.16145833333333334,0.16163988095238097,61,62
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
