symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
LU0,0.9185267857142857,0.890625,0.9076450892857142,3,2
SN0,0.9635416666666666,0.7864583333333334,0.8944791666666667,1,6
AU0,0.8500000000000001,0.9635416666666666,0.8942812500000001,6,1
AP0,0.8845982142857144,0.7760416666666666,0.8422611607142858,4,7
OI0,0.9473214285714286,0.6666666666666666,0.8378660714285715,2,15
UR0,0.824107142857143,0.8541666666666666,0.8358303571428572,7,3
SC0,0.7944940476190476,0.8333333333333334,0.8096413690476191,11,4
AG0,0.7825148809523811,0.7239583333333334,0.7596778273809525,13,12
BU0,0.8044642857142857,0.5885416666666666,0.7202544642857143,9,24
FU0,0.7999255952380953,0.5885416666666666,0.7174858630952381,10,25
SR0,0.8173363095238096,0.4895833333333333,0.6895126488095239,8,33
PX0,0.710639880952381,0.6354166666666666,0.6813028273809524,18,20
P0,0.8770833333333333,0.3385416666666667,0.6670520833333333,5,49
PP0,0.757514880952381,0.5,0.6570840773809523,15,32
M0,0.7755952380952381,0.453125,0.6498318452380952,14,39
J0,0.6521577380952381,0.6458333333333334,0.6496912202380953,19,19
SS0,0.7926339285714286,0.4010416666666667,0.6399129464285714,12,44
RM0,0.7561011904761905,0.4427083333333333,0.6338779761904763,16,42
PG0,0.7453869047619048,0.4166666666666667,0.617186011904762,17,43
EG0,0.6055059523809524,0.6197916666666666,0.611077380952381,22,21
FG0,0.6302083333333334,0.4739583333333333,0.5692708333333334,21,35
PF0,0.6389136904761905,0.453125,0.5664561011904762,20,40
CS0,0.4007440476190476,0.765625,0.543047619047619,37,8
TA0,0.5883928571428572,0.3802083333333333,0.5072008928571429,24,47
A0,0.5179315476190476,0.484375,0.504844494047619,30,34
EC0,0.5353422619047619,0.453125,0.5032775297619048,28,38
CU0,0.37172619047619043,0.6510416666666666,0.4806592261904762,40,18
BC0,0.3515625,0.6510416666666666,0.468359375,44,17
C0,0.3412946428571429,0.6614583333333334,0.46615848214285716,47,16
SM0,0.5104166666666666,0.3802083333333333,0.45963541666666663,31,46
Y0,0.5535714285714285,0.3072916666666667,0.4575223214285714,26,52
EB0,0.527529761904762,0.3333333333333333,0.4517931547619048,29,50
JM0,0.24479166666666663,0.75,0.4418229166666666,53,9
LC0,0.34263392857142855,0.5885416666666666,0.4385379464285714,46,26
JD0,0.20520833333333335,0.7916666666666666,0.4339270833333333,58,5
WR0,0.37083333333333335,0.5260416666666666,0.43136458333333333,41,30
L0,0.41004464285714287,0.4583333333333333,0.4288772321428571,36,37
CF0,0.6026041666666666,0.15625,0.42852604166666663,23,62
BR0,0.5691964285714285,0.17708333333333334,0.4162723214285714,25,60
SI0,0.3444196428571429,0.5208333333333334,0.4132209821428572,45,31
CJ0,0.4845982142857143,0.2916666666666667,0.40935491071428576,34,55
FB0,0.2926339285714286,0.5833333333333334,0.40600669642857146,49,27
B0,0.3686011904761904,0.4635416666666667,0.40562797619047614,42,36
SP0,0.18117559523809523,0.75,0.4030171130952381,59,10
HC0,0.5492559523809524,0.15625,0.395983630952381,27,63
CY0,0.4915178571428571,0.24479166666666666,0.39529464285714283,33,56
AL0,0.16354166666666667,0.7447916666666666,0.3902291666666667,62,11
LH0,0.2821428571428572,0.546875,0.3853883928571429,50,28
V0,0.500595238095238,0.19270833333333334,0.38051934523809516,32,59
SH0,0.17767857142857144,0.6927083333333334,0.37854017857142863,60,14
PK0,0.3915178571428572,0.3489583333333333,0.37491964285714285,38,48
PB0,0.24858630952380953,0.546875,0.36491889880952383,52,29
MA0,0.20736607142857144,0.5989583333333334,0.36008705357142856,57,23
AO0,0.10982142857142856,0.7135416666666666,0.3452723214285714,64,13
SF0,0.17552083333333332,0.609375,0.34472395833333336,61,22
RR0,0.4840773809523809,0.078125,0.32575595238095234,35,64
SA0,0.23697916666666666,0.4479166666666667,0.3192447916666667,54,41
I0,0.3912946428571429,0.16145833333333334,0.3016584821428572,39,61
RB0,0.3046875,0.296875,0.301640625,48,54
RS0,0.35543154761904766,0.21354166666666666,0.30009449404761906,43,58
RU0,0.2197172619047619,0.3854166666666667,0.28434002976190476,56,45
NI0,0.2629464285714285,0.296875,0.2761785714285714,51,53
NR0,0.23072916666666665,0.23958333333333334,0.23418229166666665,55,57
ZN0,0.13705357142857144,0.3177083333333333,0.20750892857142855,63,51
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
