symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
CU0,0.9824404761904763,0.84375,0.9283511904761905,1,4
BC0,0.9700892857142858,0.8125,0.9086294642857143,2,6
LH0,0.9421130952380953,0.796875,0.8854702380952381,3,7
AU0,0.8793898809523809,0.765625,0.8350215773809523,7,8
PB0,0.9076636904761904,0.71875,0.8339873511904763,4,10
AG0,0.8972470238095237,0.7135416666666666,0.8256019345238095,6,11
SR0,0.8988095238095238,0.4895833333333333,0.7392113095238095,5,33
SN0,0.7625744047619047,0.6354166666666666,0.7129828869047619,11,16
OI0,0.8445684523809524,0.4114583333333333,0.675655505952381,8,40
Y0,0.8124999999999999,0.4583333333333333,0.674375,10,38
UR0,0.8134672619047619,0.3541666666666667,0.6343400297619048,9,53
B0,0.7616071428571428,0.3854166666666667,0.6148928571428571,12,46
RM0,0.6787202380952381,0.5104166666666666,0.6130818452380952,15,30
RR0,0.7215029761904762,0.40625,0.5985543154761905,13,42
CS0,0.5869047619047619,0.609375,0.5956681547619047,22,20
SC0,0.6584077380952381,0.4791666666666667,0.5885037202380953,17,35
M0,0.6803571428571429,0.4010416666666667,0.5714241071428572,14,44
SS0,0.6305059523809524,0.4583333333333333,0.5633586309523809,18,37
PX0,0.6220238095238096,0.40625,0.5378720238095238,19,41
FG0,0.5427827380952381,0.5,0.5260974702380953,27,32
C0,0.4890625,0.5364583333333334,0.5075468750000001,30,26
TA0,0.5942708333333333,0.3489583333333333,0.49859895833333334,21,55
AL0,0.5044642857142857,0.4583333333333333,0.4864732142857142,29,36
MA0,0.5677083333333334,0.3541666666666667,0.4844270833333334,23,52
EG0,0.24136904761904762,0.859375,0.48239136904761903,54,2
PP0,0.32805059523809527,0.703125,0.47432961309523813,48,12
FU0,0.5351190476190476,0.375,0.47267261904761904,28,49
FB0,0.6770833333333334,0.15104166666666666,0.47192708333333333,16,64
JM0,0.3598958333333333,0.640625,0.4693802083333333,45,15
WR0,0.38623511904761904,0.5885416666666666,0.4651346726190476,43,22
NI0,0.48653273809523806,0.421875,0.4613162202380952,31,39
SF0,0.4212053571428571,0.5208333333333334,0.4600602678571428,39,28
V0,0.3504464285714286,0.625,0.45752232142857147,46,18
P0,0.6023809523809524,0.22395833333333334,0.4547961309523809,20,59
SA0,0.43556547619047614,0.4791666666666667,0.4525699404761905,37,34
LU0,0.41450892857142857,0.5104166666666666,0.4519129464285714,41,29
CF0,0.5581845238095239,0.2760416666666667,0.4481488095238096,26,56
J0,0.24345238095238095,0.765625,0.44709970238095237,53,9
JD0,0.19903273809523805,0.8177083333333334,0.44031622023809525,58,5
AO0,0.08683035714285714,0.9739583333333334,0.4328102678571429,64,1
PG0,0.48482142857142857,0.3489583333333333,0.43183482142857144,32,54
NR0,0.3425595238095238,0.5625,0.4283363095238095,47,24
AP0,0.5642113095238096,0.20833333333333334,0.4254188988095238,25,60
SP0,0.46517857142857144,0.359375,0.4239151785714286,33,51
SI0,0.14375,0.8541666666666666,0.4208125,61,3
CY0,0.43519345238095236,0.3958333333333333,0.41984300595238094,38,45
BR0,0.5648065476190477,0.1875,0.4176569940476191,24,62
PF0,0.3079613095238095,0.5677083333333334,0.4092626488095238,50,23
EB0,0.2604166666666667,0.640625,0.40869791666666666,51,14
PK0,0.4211309523809524,0.3802083333333333,0.405171130952381,40,48
L0,0.20342261904761905,0.6927083333333334,0.39424404761904763,57,13
I0,0.40252976190476186,0.375,0.3917931547619047,42,50
BU0,0.381845238095238,0.4010416666666667,0.3893318452380952,44,43
A0,0.22909226190476192,0.6302083333333334,0.3855275297619048,55,17
ZN0,0.4536458333333333,0.265625,0.3803177083333333,34,58
EC0,0.44910714285714287,0.265625,0.3775491071428571,36,57
RB0,0.2558779761904762,0.53125,0.3632730654761905,52,27
HC0,0.4527529761904762,0.1875,0.3493043154761905,35,63
CJ0,0.21026785714285712,0.5416666666666666,0.3395133928571428,56,25
SH0,0.14255952380952383,0.6145833333333334,0.3266488095238096,62,19
RU0,0.12254464285714285,0.6041666666666666,0.3103772321428572,63,21
SM0,0.1578125,0.5052083333333334,0.293296875,60,31
RS0,0.3215029761904762,0.20833333333333334,0.27736681547619046,49,61
LC0,0.17336309523809523,0.3854166666666667,0.2560639880952381,59,47
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
