symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
SS0,0.9426339285714286,0.8177083333333334,0.8939129464285713,2,4
NI0,0.9618303571428571,0.75,0.8792165178571428,1,8
CU0,0.9386160714285715,0.7604166666666666,0.8691183035714287,4,7
BC0,0.9080357142857144,0.765625,0.8524955357142857,7,5
PB0,0.9417410714285714,0.671875,0.8364933035714286,3,11
LH0,0.9232886904761904,0.6041666666666666,0.7988311011904762,6,17
SN0,0.9377232142857143,0.5729166666666666,0.7954486607142857,5,24
AG0,0.8988095238095238,0.5625,0.7676488095238095,8,25
PG0,0.8073660714285714,0.609375,0.7301495535714286,12,16
AL0,0.7732142857142857,0.59375,0.7032232142857142,13,19
ZN0,0.8482142857142857,0.4166666666666667,0.6799107142857143,9,43
AU0,0.7697916666666665,0.5364583333333334,0.6787916666666666,14,29
OI0,0.835639880952381,0.390625,0.6620840773809523,10,45
PK0,0.6785714285714285,0.5729166666666666,0.6373660714285714,17,23
AP0,0.8131696428571428,0.3072916666666667,0.6158772321428571,11,57
Y0,0.765029761904762,0.34375,0.6007306547619048,15,54
RM0,0.6773809523809523,0.4791666666666667,0.600077380952381,18,36
CS0,0.6149553571428572,0.5572916666666666,0.5924665178571429,20,26
SR0,0.7424107142857143,0.3333333333333333,0.5828705357142857,16,55
CF0,0.5965029761904762,0.515625,0.5649605654761904,22,33
FG0,0.40119047619047615,0.765625,0.5433199404761905,41,6
P0,0.5922619047619048,0.3645833333333333,0.5034672619047619,24,50
I0,0.5533482142857143,0.3854166666666667,0.48785491071428577,27,46
CY0,0.48065476190476186,0.4895833333333333,0.48413690476190474,32,34
M0,0.5232142857142857,0.4166666666666667,0.48166071428571433,29,42
HC0,0.6274553571428572,0.23958333333333334,0.4761852678571429,19,60
C0,0.5021577380952381,0.4270833333333333,0.47287872023809524,30,40
WR0,0.4160714285714286,0.5572916666666666,0.47114732142857146,40,28
J0,0.35319940476190476,0.6510416666666666,0.4693578869047619,45,12
B0,0.6008184523809524,0.2604166666666667,0.468061755952381,21,58
RR0,0.42388392857142865,0.5364583333333334,0.46778794642857147,39,30
LC0,0.5949404761904762,0.2552083333333333,0.4624449404761905,23,59
SF0,0.33809523809523806,0.6458333333333334,0.45811309523809524,46,13
MA0,0.5020089285714285,0.3645833333333333,0.44841294642857144,31,49
JM0,0.45424107142857145,0.4322916666666667,0.4456808035714286,36,39
AO0,0.0896577380952381,0.984375,0.43859747023809526,64,1
EG0,0.17373511904761907,0.8385416666666666,0.43300967261904766,57,3
BR0,0.5587053571428571,0.22916666666666666,0.4301852678571428,25,61
UR0,0.4772321428571429,0.3541666666666667,0.42923660714285716,34,53
RB0,0.47031249999999997,0.3645833333333333,0.429078125,35,51
SP0,0.43437499999999996,0.4010416666666667,0.421375,38,44
SA0,0.3860119047619048,0.4739583333333333,0.42031101190476194,43,38
SI0,0.10751488095238095,0.8958333333333334,0.4149590773809524,63,2
FB0,0.5551339285714286,0.1875,0.41175669642857143,26,63
SC0,0.4412202380952381,0.359375,0.40930059523809526,37,52
PF0,0.2283482142857143,0.6875,0.4074174107142857,54,10
EC0,0.553125,0.171875,0.40443749999999995,28,64
LU0,0.32142857142857145,0.53125,0.4032589285714286,48,32
PP0,0.2552827380952381,0.6041666666666666,0.39134747023809524,51,18
PX0,0.37864583333333335,0.3802083333333333,0.37925520833333337,44,47
A0,0.24360119047619047,0.5833333333333334,0.3760967261904762,52,20
RS0,0.4778273809523809,0.203125,0.37069345238095236,33,62
CJ0,0.3318452380952381,0.421875,0.36695684523809524,47,41
FU0,0.3907738095238095,0.328125,0.3663407738095238,42,56
TA0,0.2923363095238095,0.4791666666666667,0.3652001488095238,49,37
JD0,0.11956845238095237,0.734375,0.359343005952381,61,9
V0,0.18876488095238095,0.5833333333333334,0.3426465773809524,55,22
L0,0.1878720238095238,0.5833333333333334,0.34210193452380955,56,21
BU0,0.2418154761904762,0.484375,0.33641369047619046,53,35
EB0,0.13787202380952382,0.609375,0.32175818452380955,60,14
SM0,0.27901785714285715,0.3697916666666667,0.31441964285714286,50,48
RU0,0.1488095238095238,0.5572916666666666,0.30811755952380954,59,27
NR0,0.1134672619047619,0.609375,0.30687127976190476,62,15
SH0,0.1558035714285714,0.5364583333333334,0.30425892857142856,58,31
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
