symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
UR0,0.8702058504875406,0.8102564102564104,0.8468255687973998,3,3
AU0,0.7767063921993499,0.8974358974358975,0.8237908992416034,7,1
AG0,0.8772119898880462,0.6512820512820513,0.7890993138317082,1,16
LU0,0.8379198266522211,0.6564102564102564,0.7671310942578549,6,14
AP0,0.8771758757674251,0.5846153846153846,0.7630772842181293,2,25
CU0,0.658757674250632,0.8256410256410257,0.7238421812928855,18,2
PX0,0.8522210184182014,0.5076923076923077,0.7178548212351028,4,32
SC0,0.7547128927410617,0.6205128205128205,0.7023748645720477,10,21
BC0,0.6312026002166847,0.8000000000000002,0.6970335861321777,19,4
OI0,0.8426146623329722,0.4307692307692308,0.6819949440231131,5,43
SN0,0.6664499819429397,0.6871794871794873,0.6745344889851933,14,13
PP0,0.7557602022390754,0.4871794871794872,0.651013723365836,9,34
BU0,0.7663777537016974,0.4666666666666666,0.6494904297580354,8,38
FG0,0.6634886240520043,0.5230769230769231,0.6087280606717226,16,31
EG0,0.5560491152040449,0.6871794871794873,0.6071899602744675,27,10
V0,0.6737450343084146,0.4871794871794872,0.6009844709281329,13,35
TA0,0.70465872156013,0.4000000000000001,0.5858418201516793,11,48
J0,0.5927771758757674,0.5743589743589744,0.5855940772842181,24,27
SS0,0.6196821957385338,0.4820512820512821,0.5660061394005056,21,37
PB0,0.48927410617551464,0.6410256410256411,0.5484572047670639,35,20
SI0,0.4531599855543518,0.6871794871794873,0.5444275911881546,39,12
BB0,0.5188876850848683,0.5538461538461539,0.5325214879017697,32,28
RM0,0.48533766702780784,0.6,0.5300559768869628,36,23
M0,0.5951968219573853,0.4205128205128205,0.527070061394005,23,44
FU0,0.5735283495846876,0.4512820512820513,0.5258522932466594,25,42
LH0,0.4093896713615024,0.6871794871794873,0.5177276995305166,42,11
Y0,0.5197544239797761,0.5076923076923077,0.5150501986276634,31,33
PG0,0.6914409534127843,0.23589743589743592,0.5137789815817985,12,59
LC0,0.45854098952690503,0.5897435897435898,0.509710003611412,38,24
NI0,0.6029974720115565,0.35897435897435903,0.5078284579270496,22,52
SR0,0.5607439508847959,0.4102564102564103,0.5020538100397256,26,46
JM0,0.3151318165402673,0.7794871794871795,0.49623040808956304,49,5
EC0,0.6663416395810763,0.21025641025641026,0.4884684001444565,15,61
RS0,0.65962441314554,0.20512820512820515,0.4823708920187794,17,62
PF0,0.5227518959913326,0.4051282051282052,0.47687865655471295,30,47
I0,0.623979776092452,0.22051282051282053,0.4666276634163958,20,60
CS0,0.2647526182737451,0.7794871794871794,0.46549909714698445,56,6
SH0,0.2989526905019863,0.717948717948718,0.46236114120621163,52,7
JD0,0.3038280967858432,0.6974358974358975,0.4573351390393644,50,8
P0,0.5061032863849765,0.37435897435897436,0.4547230046948357,33,50
PK0,0.444131455399061,0.4666666666666666,0.4529201877934272,41,39
ZN0,0.5524015890213073,0.2923076923076923,0.45096496930299745,28,58
CJ0,0.543228602383532,0.2923076923076923,0.4453694474539545,29,57
WR0,0.34420368364030335,0.5435897435897435,0.421964247020585,48,29
AO0,0.277825929938606,0.6461538461538462,0.4214738172625496,55,17
EB0,0.2910436980859516,0.6102564102564103,0.4155366558324305,54,22
C0,0.23376670278078726,0.6923076923076924,0.41259768869628033,62,9
L0,0.3019501625135428,0.5846153846153846,0.41218959913326114,51,26
B0,0.2577464788732394,0.6410256410256411,0.4072253521126761,58,19
SF0,0.40299747201155656,0.4102564102564103,0.4058284579270495,43,45
NR0,0.38866016612495485,0.3846153846153846,0.38708270133622247,46,49
RB0,0.3984109786926689,0.35897435897435903,0.383030697002528,45,53
MA0,0.3856626941133983,0.36410256410256414,0.377254243409173,47,51
CY0,0.49216323582520766,0.17435897435897438,0.36821957385337667,34,63
CF0,0.4029252437703142,0.3076923076923077,0.36578439869989166,44,55
FB0,0.29140483929216326,0.4820512820512821,0.3657569519682196,53,36
AL0,0.25926327193932824,0.5230769230769231,0.36215059588299026,57,30
A0,0.16717226435536295,0.6410256410256411,0.35197508125677146,64,18
HC0,0.444131455399061,0.17435897435897438,0.3389201877934272,40,64
RR0,0.4804622607439509,0.10256410256410257,0.33308197905381,37,65
SP0,0.11422896352473817,0.6564102564102564,0.3256796677500903,65,15
BR0,0.23622246298302638,0.4512820512820513,0.32009570241964613,60,41
SM0,0.21719032141567354,0.4666666666666666,0.3144860960635608,63,40
RU0,0.24127843986998912,0.317948717948718,0.27117984832069336,59,54
SA0,0.23550018057060315,0.30256410256410254,0.2616551101480679,61,56
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
