symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
CU0,0.9767857142857143,0.96875,0.9736517857142857,1,2
BC0,0.9618303571428571,0.9791666666666666,0.9685915178571429,2,1
UR0,0.8488095238095238,0.6979166666666666,0.7899613095238094,3,10
AU0,0.7229166666666668,0.875,0.7822291666666668,11,3
FG0,0.7866071428571427,0.5677083333333334,0.7012366071428571,6,25
AG0,0.6905505952380953,0.6145833333333334,0.6609233630952381,13,15
SC0,0.7495535714285714,0.4947916666666667,0.6501964285714286,8,34
FU0,0.7779017857142857,0.4427083333333333,0.6471763392857143,7,42
ZN0,0.8215773809523811,0.359375,0.6413184523809524,4,50
AP0,0.8026785714285714,0.375,0.6358839285714285,5,47
PX0,0.7425595238095238,0.46875,0.6357738095238096,10,38
LU0,0.6892113095238095,0.546875,0.6337001488095237,14,26
SN0,0.643452380952381,0.5729166666666666,0.6159434523809524,18,24
V0,0.6822916666666666,0.5104166666666666,0.6152604166666666,15,33
PP0,0.6936011904761905,0.4739583333333333,0.6079404761904762,12,35
SR0,0.6497767857142858,0.5208333333333334,0.5994888392857143,17,31
BU0,0.7464285714285714,0.3489583333333333,0.5914151785714286,9,52
TA0,0.662797619047619,0.46875,0.5871190476190477,16,39
J0,0.47313988095238096,0.6770833333333334,0.5526778273809524,35,11
LH0,0.5550595238095238,0.5208333333333334,0.5417113095238095,25,29
PG0,0.6359374999999999,0.390625,0.540265625,20,46
PB0,0.5593005952380953,0.5104166666666666,0.5402358630952381,24,32
EG0,0.4767857142857143,0.5989583333333334,0.5244330357142858,34,19
NR0,0.5948660714285715,0.40625,0.5213058035714286,22,44
SF0,0.5472470238095238,0.4739583333333333,0.5186644345238095,27,36
WR0,0.5501488095238095,0.4635416666666667,0.5163720238095237,26,40
JM0,0.31369047619047624,0.8333333333333334,0.5163511904761905,53,4
AO0,0.36383928571428575,0.7291666666666666,0.5063169642857143,47,7
OI0,0.5863095238095238,0.359375,0.4978050595238095,23,49
SS0,0.4198660714285714,0.609375,0.4937745535714286,41,17
RR0,0.6389136904761904,0.265625,0.49333110119047613,19,58
CS0,0.4134672619047619,0.5989583333333334,0.48580877976190473,42,18
SI0,0.3255208333333333,0.7239583333333334,0.4809114583333333,51,8
PK0,0.4438988095238095,0.5208333333333334,0.4739032738095238,37,30
RM0,0.37879464285714287,0.6145833333333334,0.47075223214285716,46,16
AL0,0.3991071428571429,0.578125,0.46892410714285715,43,22
NI0,0.4322916666666667,0.5260416666666666,0.4688541666666667,39,28
C0,0.34709821428571425,0.6458333333333334,0.46360491071428567,50,14
RB0,0.48139880952380953,0.4322916666666667,0.46224702380952387,33,43
MA0,0.5433779761904761,0.3333333333333333,0.4614605654761904,29,53
HC0,0.6021577380952381,0.20833333333333334,0.4485662202380952,21,63
JD0,0.2203125,0.7916666666666666,0.44314062499999995,59,5
CJ0,0.5312499999999999,0.2760416666666667,0.43171874999999993,30,57
SA0,0.5436011904761905,0.2552083333333333,0.4311279761904762,28,60
I0,0.5129464285714285,0.296875,0.42867857142857135,31,54
L0,0.27127976190476194,0.671875,0.42751190476190476,56,13
M0,0.35372023809523806,0.5364583333333334,0.4249880952380952,48,27
LC0,0.3044642857142857,0.59375,0.41728571428571426,55,21
Y0,0.39404761904761904,0.375,0.3866190476190476,44,48
A0,0.19672619047619044,0.671875,0.38203422619047617,60,12
PF0,0.24226190476190476,0.5989583333333334,0.38137351190476193,57,20
SH0,0.14211309523809526,0.734375,0.37309523809523815,63,6
B0,0.31927083333333334,0.453125,0.3714739583333333,52,41
SM0,0.30580357142857145,0.4739583333333333,0.37138392857142855,54,37
RU0,0.44099702380952377,0.2552083333333333,0.3685394345238095,38,59
EC0,0.4226190476190476,0.28125,0.36748511904761905,40,55
FB0,0.4522321428571428,0.22916666666666666,0.3652366071428571,36,61
RS0,0.4852678571428571,0.17708333333333334,0.3650758928571428,32,64
CF0,0.3495535714285714,0.2760416666666667,0.32088392857142856,49,56
CY0,0.3925595238095238,0.20833333333333334,0.3207113095238095,45,62
SP0,0.15126488095238097,0.578125,0.31774032738095237,62,23
EB0,0.06741071428571428,0.703125,0.3153392857142857,64,9
P0,0.22299107142857144,0.3541666666666667,0.27414955357142856,58,51
BR0,0.18147321428571428,0.4010416666666667,0.2671049107142857,61,45
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
