symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
CU0,0.9772321428571429,0.953125,0.9678303571428571,1,2
BC0,0.9726934523809524,0.9583333333333334,0.967093005952381,2,1
AU0,0.7665178571428571,0.8854166666666666,0.8128883928571429,6,3
UR0,0.8671875,0.6197916666666666,0.7707031249999999,3,15
FG0,0.7707589285714285,0.578125,0.6956316964285714,5,23
PX0,0.7180803571428571,0.5052083333333334,0.6350602678571429,9,31
SC0,0.7348214285714286,0.4739583333333333,0.6330848214285715,7,37
AG0,0.6402529761904762,0.6145833333333334,0.6302418154761905,17,16
FU0,0.7186755952380953,0.4583333333333333,0.6171421130952381,8,39
V0,0.6944196428571429,0.484375,0.6125022321428572,11,34
SN0,0.606547619047619,0.609375,0.6076502976190477,24,19
LH0,0.6359374999999999,0.5625,0.607296875,20,26
LU0,0.6389136904761905,0.5520833333333334,0.6050498511904763,18,27
ZN0,0.7750744047619048,0.3333333333333333,0.602795386904762,4,53
SR0,0.6820684523809524,0.4739583333333333,0.6009055059523809,15,38
TA0,0.6372023809523809,0.5104166666666666,0.5877559523809524,19,30
PP0,0.684672619047619,0.4010416666666667,0.5740565476190476,14,43
NR0,0.6905505952380953,0.3489583333333333,0.5573296130952381,13,50
BU0,0.6913690476190476,0.3385416666666667,0.553766369047619,12,52
WR0,0.5973958333333333,0.484375,0.5533177083333334,25,35
PB0,0.6294642857142857,0.4270833333333333,0.5505357142857144,22,41
EG0,0.4577380952380952,0.6927083333333334,0.5493764880952381,36,11
RR0,0.7061755952380953,0.296875,0.5465483630952381,10,56
J0,0.39136904761904767,0.765625,0.537328869047619,45,7
OI0,0.6495535714285715,0.3541666666666667,0.5343526785714287,16,48
SI0,0.3790178571428571,0.7395833333333334,0.5196383928571429,47,8
AL0,0.44828869047619047,0.609375,0.5111123511904763,38,17
PG0,0.5537202380952381,0.4427083333333333,0.5104255952380952,26,40
AO0,0.2962053571428571,0.8333333333333334,0.5056852678571429,54,4
CS0,0.43854166666666666,0.5833333333333334,0.4950104166666667,39,21
RB0,0.4846354166666667,0.5052083333333334,0.49265885416666666,32,32
RM0,0.4069940476190476,0.6197916666666666,0.489985119047619,43,14
MA0,0.6332589285714286,0.265625,0.48988169642857143,21,60
JM0,0.29136904761904764,0.7916666666666666,0.48648511904761904,56,5
SF0,0.5300595238095238,0.4010416666666667,0.47974255952380956,27,44
JD0,0.26651785714285714,0.78125,0.46726339285714286,57,6
HC0,0.6216517857142857,0.21354166666666666,0.46248883928571427,23,62
SS0,0.3836309523809524,0.5833333333333334,0.461514880952381,46,22
I0,0.5155505952380953,0.3697916666666667,0.45870461309523813,29,47
L0,0.3255208333333333,0.65625,0.4545052083333333,52,13
AP0,0.4811755952380952,0.4114583333333333,0.4539858630952381,34,42
NI0,0.35111607142857143,0.609375,0.45183705357142856,50,18
Y0,0.47909226190476195,0.3958333333333333,0.44662127976190474,35,45
RU0,0.48430059523809527,0.3541666666666667,0.43354836309523814,33,49
SA0,0.5238467261904761,0.2916666666666667,0.43329650297619043,28,57
C0,0.3585565476190476,0.5416666666666666,0.429969494047619,49,28
CJ0,0.3972470238095238,0.4739583333333333,0.42716443452380953,44,36
M0,0.40959821428571425,0.3854166666666667,0.4001674107142857,42,46
PK0,0.2921130952380952,0.5677083333333334,0.3995952380952381,55,25
CY0,0.5087053571428571,0.20833333333333334,0.3915602678571428,30,63
FB0,0.5083333333333334,0.17708333333333334,0.3791458333333334,31,64
RS0,0.43526785714285715,0.2708333333333333,0.3711383928571429,40,59
CF0,0.4484375,0.23958333333333334,0.366984375,37,61
PF0,0.22686011904761902,0.5677083333333334,0.35979092261904766,59,24
P0,0.41250000000000003,0.2760416666666667,0.35928125,41,58
A0,0.1392857142857143,0.6979166666666666,0.3571517857142857,61,10
SH0,0.1290922619047619,0.7135416666666666,0.3570275297619047,62,9
SM0,0.25617559523809524,0.4895833333333333,0.3472046130952381,58,33
EC0,0.34866071428571427,0.34375,0.3467455357142857,51,51
B0,0.36882440476190476,0.296875,0.3407641369047619,48,55
SP0,0.21063988095238095,0.5208333333333334,0.3316153273809524,60,29
EB0,0.11272321428571429,0.6614583333333334,0.32672991071428575,64,12
LC0,0.12886904761904763,0.6041666666666666,0.314235119047619,63,20
BR0,0.3003720238095238,0.3229166666666667,0.30916443452380954,53,54
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
