symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
AP0,0.9592261904761905,0.8125,0.9020029761904762,2,7
M0,0.9703125,0.7291666666666666,0.876265625,1,10
OI0,0.9293154761904763,0.78125,0.8715699404761905,4,8
RM0,0.9438988095238096,0.6145833333333334,0.8154657738095239,3,18
AU0,0.8743303571428571,0.7135416666666666,0.8116227678571428,6,13
CS0,0.8472470238095239,0.515625,0.7179144345238095,7,29
FG0,0.7973958333333333,0.5677083333333334,0.7078177083333334,11,23
SR0,0.846577380952381,0.4739583333333333,0.7012559523809524,8,34
UR0,0.7488095238095238,0.5677083333333334,0.6781800595238096,15,24
A0,0.879985119047619,0.3385416666666667,0.6688221726190476,5,49
JD0,0.5031994047619047,0.8385416666666666,0.6339828869047619,30,5
C0,0.8090773809523809,0.3125,0.6154122023809523,10,56
LH0,0.7626488095238094,0.34375,0.5992782738095237,14,47
J0,0.7410714285714285,0.3385416666666667,0.5840848214285714,16,50
B0,0.7689732142857143,0.2916666666666667,0.5828236607142857,13,58
JM0,0.3601190476190476,0.90625,0.5731101190476191,42,2
RR0,0.8270833333333333,0.14583333333333334,0.5613958333333333,9,64
RB0,0.6957589285714286,0.328125,0.5523816964285715,17,54
PK0,0.5158482142857143,0.59375,0.5462299107142856,29,20
WR0,0.4618303571428572,0.671875,0.5437477678571428,31,14
PG0,0.7705357142857143,0.1875,0.5431517857142858,12,63
SI0,0.4064732142857143,0.7239583333333334,0.5302924107142857,40,11
SN0,0.599032738095238,0.390625,0.5177537202380952,20,42
LU0,0.5960565476190476,0.390625,0.515938244047619,22,41
CJ0,0.5724702380952381,0.4166666666666667,0.5117068452380953,23,38
FB0,0.4357142857142857,0.625,0.5095357142857143,35,17
SF0,0.25446428571428575,0.890625,0.5025669642857143,53,3
SH0,0.2624255952380952,0.875,0.501329613095238,51,4
SA0,0.4136904761904762,0.6354166666666666,0.5001636904761905,39,16
SC0,0.6019345238095238,0.3333333333333333,0.49718005952380956,19,52
V0,0.5971726190476191,0.3333333333333333,0.49427529761904765,21,53
EG0,0.4365327380952381,0.5833333333333334,0.4937849702380953,34,21
AO0,0.1708333333333333,0.9739583333333334,0.4840520833333334,60,1
SP0,0.26502976190476196,0.8177083333333334,0.4805744047619048,50,6
P0,0.653720238095238,0.20833333333333334,0.4800193452380952,18,62
RS0,0.5651041666666666,0.3333333333333333,0.4747135416666666,24,51
MA0,0.3171130952380952,0.71875,0.4737514880952381,46,12
HC0,0.525967261904762,0.3697916666666667,0.4650587797619048,28,46
FU0,0.5507440476190476,0.3229166666666667,0.46189136904761907,27,55
I0,0.4264880952380952,0.4947916666666667,0.4531264880952381,37,32
PP0,0.5630208333333334,0.2760416666666667,0.4510989583333334,25,60
BU0,0.5585565476190476,0.28125,0.450406994047619,26,59
SM0,0.4384672619047619,0.46875,0.4502775297619047,33,35
AG0,0.4518601190476191,0.375,0.4218846726190476,32,43
L0,0.33489583333333334,0.5520833333333334,0.4195989583333334,43,25
AL0,0.3171130952380952,0.5729166666666666,0.41687648809523803,45,22
SS0,0.4144345238095239,0.34375,0.3868675595238096,38,48
Y0,0.43266369047619047,0.2760416666666667,0.37158110119047616,36,61
LC0,0.11733630952380952,0.765625,0.3701688988095238,62,9
PB0,0.17276785714285714,0.6666666666666666,0.36538839285714286,59,15
PF0,0.27723214285714287,0.484375,0.35801785714285717,48,33
PX0,0.31473214285714285,0.4166666666666667,0.3544866071428572,47,40
CY0,0.36904761904761907,0.3072916666666667,0.34496279761904763,41,57
EB0,0.22589285714285712,0.5208333333333334,0.3409196428571429,54,28
EC0,0.3179315476190476,0.3697916666666667,0.33815699404761906,44,45
TA0,0.2771577380952381,0.421875,0.3335974702380953,49,37
CU0,0.18311011904761906,0.5208333333333334,0.31482217261904766,57,27
NI0,0.19441964285714283,0.5,0.3135959821428571,56,31
BC0,0.17723214285714287,0.5260416666666666,0.3132678571428571,58,26
BR0,0.2110119047619048,0.4479166666666667,0.30340476190476195,55,36
ZN0,0.11056547619047619,0.6041666666666666,0.30306994047619046,64,19
CF0,0.25863095238095235,0.3697916666666667,0.3019836309523809,52,44
RU0,0.13616071428571427,0.5052083333333334,0.2800892857142857,61,30
NR0,0.11726190476190478,0.4166666666666667,0.23402976190476193,63,39
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
