symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
M0,0.9831101190476191,0.7604166666666666,0.8962596726190477,1,7
AP0,0.9104910714285714,0.6979166666666666,0.8275870535714285,5,11
RM0,0.9226190476190478,0.6302083333333334,0.8085788690476192,4,17
AU0,0.8667410714285714,0.6510416666666666,0.7826183035714285,9,15
OI0,0.8619791666666666,0.5677083333333334,0.7472135416666666,10,21
A0,0.9304315476190478,0.3385416666666667,0.6995944940476192,3,52
CS0,0.8363839285714286,0.453125,0.6869129464285715,11,38
SF0,0.5947916666666666,0.8229166666666666,0.6837604166666666,20,4
LH0,0.9451636904761904,0.2552083333333333,0.6760811011904762,2,59
JD0,0.675595238095238,0.671875,0.6741443452380952,15,14
FG0,0.785639880952381,0.4427083333333333,0.6518965773809524,12,39
B0,0.9042410714285715,0.21354166666666666,0.6348683035714285,6,63
UR0,0.7086309523809523,0.515625,0.6333586309523809,14,31
C0,0.8797619047619049,0.21875,0.6219672619047619,7,62
PK0,0.5746279761904762,0.6302083333333334,0.5963043154761906,23,16
WR0,0.49672619047619043,0.734375,0.5894092261904762,31,9
RR0,0.8758184523809524,0.125,0.5829992559523809,8,64
RB0,0.661532738095238,0.390625,0.5558787202380953,16,43
SR0,0.725,0.28125,0.5519375,13,58
JM0,0.3540178571428571,0.859375,0.5511071428571428,42,3
SI0,0.41815476190476186,0.6979166666666666,0.5272619047619047,36,12
AO0,0.2349702380952381,0.984375,0.5272380952380953,54,1
CJ0,0.5379464285714285,0.5052083333333334,0.5251785714285714,26,32
MA0,0.3697916666666667,0.7552083333333334,0.5201041666666667,41,8
SH0,0.29062499999999997,0.875,0.51853125,47,2
J0,0.604389880952381,0.3802083333333333,0.5169590773809524,19,46
RS0,0.6529017857142857,0.28125,0.5079575892857143,17,57
V0,0.5357886904761905,0.4270833333333333,0.4933936011904762,27,42
SC0,0.5796130952380952,0.3541666666666667,0.4916889880952381,22,51
SP0,0.28757440476190477,0.7864583333333334,0.48213913690476196,49,6
SA0,0.38787202380952385,0.6145833333333334,0.47628943452380956,40,18
FB0,0.4276785714285714,0.546875,0.4741651785714286,35,24
LU0,0.546875,0.359375,0.47375,25,48
HC0,0.4934523809523809,0.4322916666666667,0.4695997023809524,32,40
PG0,0.611904761904762,0.234375,0.4646681547619048,18,61
I0,0.4121279761904762,0.5416666666666666,0.4626480654761905,38,28
AG0,0.5035714285714286,0.3854166666666667,0.4574910714285714,28,44
EG0,0.35260416666666666,0.6041666666666666,0.45071354166666666,43,19
P0,0.5849702380952381,0.23958333333333334,0.4502693452380952,21,60
SN0,0.5516369047619047,0.2916666666666667,0.4502485119047619,24,56
SM0,0.4152529761904762,0.4895833333333333,0.44424181547619046,37,36
BU0,0.49724702380952385,0.3541666666666667,0.4414456845238096,30,49
AL0,0.33489583333333334,0.59375,0.43584895833333337,44,20
Y0,0.4979910714285714,0.3385416666666667,0.4358058035714286,29,54
FU0,0.4640625,0.3697916666666667,0.427296875,34,47
PP0,0.4706845238095238,0.3385416666666667,0.4191488095238095,33,53
L0,0.3060267857142857,0.5520833333333334,0.4019888392857143,45,23
SS0,0.390327380952381,0.3854166666666667,0.3884122023809524,39,45
PB0,0.15907738095238097,0.7239583333333334,0.3793809523809524,60,10
NI0,0.2905505952380952,0.5052083333333334,0.3742671130952381,48,33
LC0,0.08563988095238095,0.8125,0.36911532738095243,64,5
PF0,0.2490327380952381,0.546875,0.36519122023809525,53,25
TA0,0.26175595238095234,0.4947916666666667,0.35263988095238097,51,35
PX0,0.2603422619047619,0.4947916666666667,0.3517775297619048,52,34
EB0,0.22217261904761906,0.5520833333333334,0.35083779761904765,56,22
CU0,0.22477678571428572,0.53125,0.34430133928571427,55,30
BC0,0.21607142857142858,0.5416666666666666,0.3430535714285714,58,26
EC0,0.2676339285714286,0.4270833333333333,0.32981919642857144,50,41
ZN0,0.09947916666666667,0.6770833333333334,0.3247447916666667,63,13
BR0,0.18497023809523808,0.5416666666666666,0.32408184523809525,59,27
CY0,0.3037946428571428,0.3125,0.3071897321428571,46,55
RU0,0.1494047619047619,0.5364583333333334,0.30035565476190473,61,29
CF0,0.21830357142857146,0.3541666666666667,0.2712901785714286,57,50
NR0,0.11703869047619048,0.46875,0.2542061011904762,62,37
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
