symbol,trend_strength,trend_consistency,composite_score,momentum_rank,persistence_rank
CU0,0.9772321428571429,0.9166666666666666,0.9536116071428571,1,3
BC0,0.9674851190476191,0.921875,0.9496971726190477,2,1
AU0,0.8477678571428572,0.8489583333333334,0.8482321428571429,4,4
UR0,0.8793154761904763,0.4895833333333333,0.7273199404761905,3,36
SR0,0.8262648809523809,0.5260416666666666,0.7091778273809524,5,27
FG0,0.7261160714285714,0.5885416666666666,0.6724620535714285,9,18
AG0,0.6595238095238095,0.6822916666666666,0.6684032738095238,16,13
SN0,0.6482142857142857,0.6614583333333334,0.6533794642857143,17,15
LH0,0.6680059523809524,0.5989583333333334,0.641077380952381,14,17
PB0,0.7270089285714286,0.5,0.6384754464285715,8,31
PX0,0.6974702380952381,0.5364583333333334,0.6346755952380952,10,25
SC0,0.7436755952380952,0.4427083333333333,0.6262983630952381,7,40
LU0,0.6274553571428573,0.5416666666666666,0.5939977678571429,19,23
ZN0,0.7476934523809523,0.3385416666666667,0.5881242559523809,6,53
FU0,0.6851190476190476,0.4322916666666667,0.5865163690476191,12,41
TA0,0.6263392857142857,0.5,0.5770669642857142,20,34
CS0,0.5029761904761905,0.6197916666666666,0.5485342261904762,33,16
EG0,0.3886160714285714,0.78125,0.5417433035714285,46,8
OI0,0.6238839285714285,0.4010416666666667,0.5369754464285714,21,47
RR0,0.6359375,0.375,0.534171875,18,49
NR0,0.6693452380952382,0.3125,0.5301755952380953,13,54
WR0,0.5379464285714286,0.5104166666666666,0.5272098214285714,30,30
V0,0.6016369047619047,0.40625,0.5254360119047619,24,46
AL0,0.4994047619047619,0.5572916666666666,0.5219806547619048,35,21
PP0,0.5607142857142856,0.4427083333333333,0.5146919642857142,26,39
FB0,0.6968005952380952,0.22916666666666666,0.5144233630952381,11,60
Y0,0.5566964285714285,0.4270833333333333,0.5061473214285714,27,44
RM0,0.46688988095238093,0.5625,0.5041778273809524,38,20
AO0,0.23712797619047618,0.9166666666666666,0.5021480654761905,58,2
SA0,0.5511904761904762,0.4114583333333333,0.4966949404761905,29,45
MA0,0.6619047619047619,0.21875,0.4890744047619048,15,62
J0,0.2747023809523809,0.8229166666666666,0.48850595238095235,51,5
BU0,0.6142113095238095,0.2864583333333333,0.4863876488095238,23,56
C0,0.4294642857142857,0.5520833333333334,0.47728571428571426,41,22
JD0,0.26279761904761906,0.8125,0.47718154761904763,54,7
SF0,0.5029017857142857,0.4270833333333333,0.47333258928571426,34,43
NI0,0.41078869047619043,0.5677083333333334,0.4719873511904762,44,19
PG0,0.4914434523809524,0.4322916666666667,0.4683742559523809,36,42
SS0,0.4239583333333334,0.5208333333333334,0.4617395833333334,42,29
AP0,0.5171875,0.3697916666666667,0.459703125,32,50
P0,0.5729166666666666,0.2760416666666667,0.4571354166666666,25,57
HC0,0.6205357142857143,0.19270833333333334,0.4536830357142857,22,63
L0,0.30171130952380953,0.6875,0.4521688988095238,50,11
I0,0.4802083333333333,0.390625,0.4452708333333333,37,48
JM0,0.2722470238095238,0.703125,0.44028943452380953,52,9
RU0,0.42291666666666666,0.4635416666666667,0.43876041666666665,43,37
CY0,0.554985119047619,0.22916666666666666,0.4279159226190476,28,59
SI0,0.16458333333333333,0.8177083333333334,0.41930208333333335,60,6
CF0,0.5229166666666667,0.22395833333333334,0.4063229166666667,31,61
RB0,0.32135416666666666,0.53125,0.4032135416666667,48,26
M0,0.40059523809523806,0.3697916666666667,0.38858184523809525,45,51
B0,0.43422619047619043,0.296875,0.38065922619047615,40,55
CJ0,0.26964285714285713,0.5364583333333334,0.37370089285714286,53,24
A0,0.13519345238095237,0.6979166666666666,0.35465550595238093,61,10
PK0,0.2604166666666667,0.5,0.3538541666666667,55,33
PF0,0.24828869047619048,0.5,0.3464561011904762,57,32
SH0,0.1271577380952381,0.6875,0.34569122023809523,63,12
BR0,0.4389136904761905,0.17708333333333334,0.33679985119047623,39,64
RS0,0.3171875,0.3541666666666667,0.33160937500000004,49,52
SP0,0.2489583333333333,0.4479166666666667,0.3265520833333333,56,38
SM0,0.21376488095238097,0.4895833333333333,0.32133407738095243,59,35
EC0,0.3597470238095238,0.2552083333333333,0.3189769345238095,47,58
EB0,0.09947916666666666,0.6614583333333334,0.3186510416666667,64,14
LC0,0.13169642857142858,0.5208333333333334,0.28345982142857146,62,28
IC0,,,,-1,-1
IF0,,,,-1,-1
IH0,,,,-1,-1
IM0,,,,-1,-1
TF0,,,,-1,-1
TS0,,,,-1,-1
